[1/3] C 소스 파일 컴파일 중: files/main.c
[2/3] CPU 및 16MB DRAM 초기화 중...
[3/3] 파이프라인 시뮬레이션 시작

========================= Simulation Running =========================
[00125 Cycle] IF_PC: 0x0000019C | ID_PC: 0x00000198 | EX_PC: 0x00000194 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00126 Cycle] IF_PC: 0x0000019C | ID_PC: 0x00000198 | EX_PC: 0x00000194 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00127 Cycle] IF_PC: 0x0000019C | ID_PC: 0x00000198 | EX_PC: 0x00000194 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00128 Cycle] IF_PC: 0x0000019C | ID_PC: 0x00000198 | EX_PC: 0x00000194 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00129 Cycle] IF_PC: 0x000001A0 | ID_PC: 0x0000019C | EX_PC: 0x00000198 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00130 Cycle] IF_PC: 0x000001A0 | ID_PC: 0x0000019C | EX_PC: 0x00000198 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00131 Cycle] IF_PC: 0x000001A0 | ID_PC: 0x0000019C | EX_PC: 0x00000198 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00132 Cycle] IF_PC: 0x000001A0 | ID_PC: 0x0000019C | EX_PC: 0x00000198 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00133 Cycle] IF_PC: 0x000001A0 | ID_PC: 0x0000019C | EX_PC: 0x00000198 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00134 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x0000019C | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00135 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x0000019C | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00136 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x0000019C | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00137 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x0000019C | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00138 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x0000019C | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00139 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x00000000 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00140 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x00000000 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00141 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x00000000 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00142 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x00000000 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00143 Cycle] IF_PC: 0x000001A4 | ID_PC: 0x000001A0 | EX_PC: 0x00000000 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00144 Cycle] IF_PC: 0x000001A8 | ID_PC: 0x000001A4 | EX_PC: 0x000001A0 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 8388560
[00145 Cycle] IF_PC: 0x000001AC | ID_PC: 0x000001A8 | EX_PC: 0x000001A4 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 7
[00146 Cycle] IF_PC: 0x000001B0 | ID_PC: 0x000001AC | EX_PC: 0x000001A8 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 7
[00147 Cycle] IF_PC: 0x000001B0 | ID_PC: 0x000001AC | EX_PC: 0x000001A8 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 7
[00148 Cycle] IF_PC: 0x000001B0 | ID_PC: 0x000001AC | EX_PC: 0x000001A8 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 7
[00149 Cycle] IF_PC: 0x000001B0 | ID_PC: 0x000001AC | EX_PC: 0x000001A8 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 7
[00150 Cycle] IF_PC: 0x000001B0 | ID_PC: 0x000001AC | EX_PC: 0x000001A8 | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 7
[00151 Cycle] IF_PC: 0x000001B4 | ID_PC: 0x000001B0 | EX_PC: 0x000001AC | sp: 0x007FFFA0 | a0: 8388560 | s0: 8388560 | s5: 7
